#{"t_start": 1630091104.8534548, "env_id": null}
r,l,t
7.6355834,16,227.288226
30.416046,50,228.301879
10.17134,14,229.142896
28.271296,36,229.91797
34.611965,55,230.644545
31.721022,52,230.941458
20.410913,32,232.509997
79.88854,103,233.0481
18.059492,24,233.310577
62.443634,100,233.84562
2.880018,3,234.56739
55.196953,83,235.930095
29.444994,41,237.286628
20.916464,37,237.564648
45.10593,69,237.564713
35.904285,45,238.17698
24.843834,32,238.85955
23.70821,41,239.367653
3.9668932,4,240.01601
54.13753,75,240.579011
14.021773,23,240.579086
121.47271,149,240.863128
26.871387,39,242.655777
146.54279,197,243.085556
39.268185,52,243.346824
17.971058,23,243.799757
31.133238,48,245.398646
19.303116,24,245.774859
23.71034,33,246.052079
13.054234,17,247.092708
15.353429,30,248.229764
22.050823,40,248.491741
20.454283,33,249.102374
21.890724,26,255.373593
37.77979,53,256.463479
49.355213,78,256.974285
57.038338,67,256.974355
42.048626,57,256.974372
25.271776,52,257.979025
68.106865,100,258.261585
44.187828,52,259.537721
65.18809,84,260.680928
83.57006,122,260.966908
5.506203,7,262.32177
45.420135,82,262.837804
16.930096,24,262.837866
49.287426,65,264.135824
37.045284,80,265.159763
18.312447,29,271.063107
13.104834,23,271.063169
23.99018,35,271.447187
24.833143,43,272.130835
29.251307,42,272.803039
8.306538,11,274.619729
41.402184,59,275.295626
20.997759,29,275.569413
21.382826,35,276.0264
111.199234,148,277.097998
30.232958,43,277.399426
72.894005,111,279.361413
41.61003,51,279.64
28.731524,35,281.10054
61.362087,81,281.100641
12.809906,24,281.391428
17.76101,29,282.835298
37.159214,54,284.228013
118.29048,139,284.22809
24.479628,29,284.475325
68.956085,105,285.456634
44.906918,60,285.937634
32.999302,48,287.00706
13.00859,15,287.783271
18.041292,34,287.78333
31.916676,34,289.4269
38.137238,65,290.501806
26.396479,32,290.82927
11.472375,22,290.829337
21.473402,28,291.091621
11.203573,14,291.445599
2.9949496,3,291.445674
31.77647,42,291.724479
2.542698,3,292.120197
4.788482,7,292.535573
46.32213,54,294.483812
15.2035675,16,294.76886
50.115284,71,296.792674
12.69031,23,296.792744
23.892237,38,296.792762
75.85858,111,297.694798
42.319336,58,299.507045
24.218409,32,299.807085
29.308884,41,300.30506
26.717718,36,300.305126
23.252808,40,300.577343
14.524651,24,302.523401
79.07352,108,303.028362
50.43807,79,303.457263
11.642137,15,303.80962
6.5075893,7,304.74178
3.751666,4,304.741839
42.40719,49,306.952012
26.495092,51,307.249977
24.300282,29,307.250089
127.15606,156,307.735674
24.049086,36,309.65694
14.779885,22,309.934901
28.76873,41,310.626806
78.1703,105,312.541725
45.014637,64,312.541804
56.709743,66,313.211027
11.2112255,14,313.211122
48.43616,65,313.929867
33.326286,42,314.160102
20.900753,33,314.83916
6.7305713,8,315.169559
21.425287,35,315.663632
94.17668,108,315.901237
9.0928955,17,316.83883
10.641671,12,317.902474
55.031956,72,318.515136
29.797218,44,318.515223
23.428333,30,320.117741
44.18084,65,320.846629
39.568916,46,321.477684
21.929762,28,322.194447
8.089026,16,324.029757
11.504359,13,324.519598
52.22601,88,325.133967
52.857533,78,329.336131
37.932594,69,330.642004
39.754826,54,331.685295
45.674454,68,335.009714
14.717437,35,335.009806
47.939896,62,339.799142
51.005913,61,340.059779
14.580717,25,340.507707
43.450783,76,342.027791
48.331608,69,345.202758
67.80773,84,345.20282
71.06925,108,345.82977
18.79454,29,346.451086
43.73001,58,346.764316
19.478916,25,348.044729
25.470655,38,348.361769
51.43772,73,349.275688
97.91104,118,349.275754
16.211634,17,350.289283
11.775921,20,350.289346
3.3615992,5,351.455785
87.39013,137,354.097862
17.748695,27,355.770558
44.257168,68,356.872397
16.6588,24,357.377534
32.871788,45,357.676397
89.05136,126,357.964143
35.015266,84,359.57544
17.460052,23,359.861059
64.821625,104,360.896441
97.92674,128,362.306687
15.251437,25,363.858612
25.848618,35,364.424413
70.46625,102,364.787452
22.07378,29,364.787509
54.657574,68,366.085252
39.18895,72,366.085332
23.714699,28,366.720388
15.731614,28,367.004504
12.964825,15,369.901908
70.60689,94,370.22759
24.323,43,372.967623
31.28708,39,373.603266
13.907251,20,375.049395
21.78626,34,375.375066
60.30366,72,375.37515
90.14784,117,377.04901
107.23322,131,377.717521
28.671776,54,377.930338
49.232685,71,378.48761
14.431739,19,379.932776
75.28573,121,380.281037
9.58365,13,380.281118
43.615818,56,380.490529
29.055311,33,381.133946
18.122915,26,381.73484
77.494095,101,382.078077
2.9761717,3,382.834647
56.25649,70,383.541776
58.305546,77,384.156107
11.2003,17,384.602992
18.02119,26,386.874783
18.740028,29,387.758931
57.546444,73,388.04619
59.30282,95,388.55014
16.861156,30,388.891247
32.352715,48,390.107621
32.975536,40,390.37039
31.207483,48,391.026507
34.189163,63,391.444438
18.557764,38,392.148804
54.106495,71,392.429526
22.479395,32,392.814549
14.56663,17,394.733941
34.290524,41,395.408459
21.680225,33,395.716623
22.284094,30,396.311161
28.922098,55,397.902085
7.403772,10,397.902163
59.815662,80,398.583013
18.792395,34,399.32869
22.24307,34,400.079761
23.238087,34,403.105557
26.709522,30,407.8403
26.758917,35,408.635015
48.467064,62,409.015356
42.190998,57,410.483623
43.09638,56,410.913068
60.51805,73,410.91314
22.683594,37,412.279284
9.485789,18,413.732091
13.558958,22,414.388835
64.72532,74,414.921594
19.666973,30,415.530101
56.30023,80,415.530167
2.9948182,3,416.25036
15.096007,23,416.556062
21.418228,25,418.180151
19.336048,24,419.041667
75.94448,106,419.769977
23.836699,40,420.56117
53.11195,74,421.528353
43.02528,63,422.832148
67.53245,89,423.926697
19.74116,24,423.926782
47.27658,60,425.283565
32.94708,44,425.903862
24.199322,29,426.120261
21.908627,44,426.777347
49.02191,96,427.548424
36.004505,55,427.995395
144.98784,166,428.811146
40.456326,52,428.811226
23.479872,33,429.607069
34.910896,43,430.498108
16.608154,26,430.498174
6.688855,11,430.498189
106.350784,126,432.830061
19.50883,34,434.172037
34.89508,44,434.51075
50.212933,68,436.731322
30.744276,46,436.731405
42.51526,49,439.901706
62.072292,76,440.614979
37.957912,56,440.935582
41.76604,56,441.629241
22.32129,24,442.40493
24.977468,28,443.383531
102.65248,129,444.814131
12.783183,18,445.383392
41.511295,66,445.84135
72.354324,82,446.440164
38.473274,50,446.440252
11.9613,22,447.232311
73.29173,93,447.858795
17.663021,28,447.858874
19.436447,25,448.858762
18.10265,36,449.098731
59.941628,84,450.498536
14.244604,24,451.10789
65.08221,89,451.107956
9.402386,12,451.890365
10.955394,14,452.548258
15.4569025,23,452.953506
3.2371192,4,453.986882
61.483826,87,455.552163
71.19525,96,456.341796
24.25354,31,458.517448
23.565802,34,459.958558
23.267664,34,460.801811
100.49093,128,461.293155
30.271759,44,461.786384
54.867825,70,463.235382
52.33782,70,463.743645
56.416916,75,463.99679
13.379438,22,465.316807
50.598454,86,467.328216
52.387413,83,467.811599
53.258297,74,468.253242
92.93831,112,474.626475
22.813366,34,477.296762
60.613377,80,478.440649
38.522694,56,479.007289
86.19859,117,479.825494
20.694721,31,482.054653
61.977215,84,482.609393
88.13081,108,483.816309
43.962982,58,485.277639
16.285372,22,485.277703
51.711452,77,485.678542
20.791037,33,486.935232
46.119183,93,487.427665
52.215927,67,488.143592
40.832268,51,489.41135
36.98738,53,491.155481
73.00527,89,492.961682
93.74912,140,501.714467
99.23597,114,503.060665
28.077051,51,503.060742
14.017829,28,503.451303
37.60806,47,503.451382
32.119274,56,503.968096
97.978004,118,504.45381
42.484837,53,506.181965
12.8830595,14,506.785881
38.077797,55,506.785941
42.79779,49,507.119314
10.585203,11,507.119378
18.422764,25,507.60367
126.129555,149,508.713483
8.218122,13,510.372467
30.50042,35,510.733779
14.933932,19,511.765467
2.9822457,3,512.604276
24.95908,29,513.774966
32.31642,45,514.544981
5.8118877,10,516.185984
83.518906,95,517.068509
45.45685,58,517.623419
26.789799,41,517.92115
30.52072,46,518.436085
33.710804,48,519.202895
59.727203,98,519.87326
34.24067,45,520.175365
17.75384,23,520.175441
6.7806587,8,522.302949
8.167698,17,522.30301
62.835552,92,522.644643
16.475027,25,523.903672
66.6302,82,523.903741
69.52453,86,525.348171
93.90052,112,525.704055
34.506866,42,527.323548
55.589222,70,527.83247
17.132051,27,528.562821
53.41841,84,531.008938
25.981434,32,531.506349
32.491394,42,532.439692
28.59859,42,533.769243
49.85043,74,534.118659
48.613865,63,535.255513
30.710169,36,535.956254
75.44624,101,536.964959
39.47433,54,538.301368
29.961946,41,538.596061
9.584388,12,539.967068
57.651436,77,540.688507
20.252157,23,541.013359
36.72513,44,542.175991
75.4067,95,542.988357
77.40594,101,542.988418
67.72956,101,543.688531
20.484982,26,549.11587
8.037259,14,550.132038
58.60786,84,550.404096
76.47379,87,553.495578
18.695421,25,553.495663
11.037845,23,553.942151
60.111954,77,555.929778
24.64747,30,556.567788
11.822269,13,556.88264
36.47802,54,557.795044
59.241592,83,560.683241
16.252163,24,561.302876
47.61064,56,563.237974
62.88972,92,564.82085
24.248539,35,565.576096
45.0958,60,567.629542
49.87428,74,567.959847
100.86326,124,568.474181
25.273859,32,568.969413
85.47104,102,569.909642
116.41643,135,570.762246
107.530464,149,571.241925
61.1429,71,572.987346
104.78431,117,572.987408
20.153217,24,573.419258
29.387636,44,573.693784
29.503006,40,574.450939
20.122782,27,576.25625
66.19373,84,576.586722
25.673437,36,577.042014
30.614292,36,577.700566
13.607917,21,578.500134
42.253525,75,578.759075
15.542911,20,579.090088
108.00717,131,579.090167
14.83368,26,580.036154
19.260612,22,580.565146
37.823658,64,581.768145
31.445843,44,582.047976
24.923134,34,582.581461
95.377975,125,584.333591
9.237656,21,584.333671
18.820868,28,584.648684
20.330458,30,584.64875
20.650555,32,586.11109
8.891931,15,587.895781
28.045338,31,589.203575
44.08412,76,589.990454
41.317753,57,590.528445
21.25326,31,591.388384
64.45785,104,593.005407
37.29295,45,593.005466
38.965378,66,594.297988
23.6621,42,595.566812
48.345757,62,596.271792
25.041073,32,597.374046
60.759937,80,599.011104
46.63481,73,600.855422
19.691933,30,602.014491
28.552275,36,602.367216
77.176445,103,603.223913
59.887917,86,603.955019
7.8849726,12,605.002095
24.514202,32,606.32877
53.879284,62,607.014092
51.585964,74,607.290383
86.16592,133,615.05928
24.110327,28,615.84224
44.63716,70,616.653437
110.75083,142,616.653512
37.942265,46,618.450341
53.71948,60,619.445113
20.555477,36,620.291032
17.039215,20,620.827616
29.102758,43,621.112404
17.304638,29,622.204725
13.892064,24,622.549425
54.94468,66,622.549485
33.314938,48,623.03522
80.169334,115,624.263151
121.3253,137,624.263215
8.806434,9,624.84035
17.680698,22,625.109242
87.48438,100,625.405097
58.576447,79,627.351648
13.133416,16,628.686248
16.81512,28,629.454099
18.44458,24,630.297103
16.345243,27,630.980998
19.801348,24,630.981055
121.219025,162,631.964499
27.784613,49,632.588778
14.964754,17,633.771512
127.33801,165,634.881561
40.627003,56,634.881639
47.118595,70,635.697486
18.982903,23,635.920376
50.081203,62,636.287296
19.708065,29,638.392666
8.500683,15,638.954853
36.197968,47,639.197222
16.787807,21,640.257891
24.314663,28,640.783624
23.559566,40,641.129586
23.034286,38,641.658724
51.62419,80,643.144383
20.48372,24,645.355131
65.27372,95,646.299103
18.00665,22,646.538418
25.15798,42,646.755465
67.09547,88,647.528065
44.69001,55,651.880374
39.009583,46,652.418673
29.250048,38,652.418747
125.70168,146,652.984895
26.525993,31,654.166831
74.805916,108,655.560609
62.669167,102,657.718249
61.01846,77,659.117392
16.254433,29,659.917796
45.42279,58,660.260058
37.18839,55,660.816498
76.9077,90,661.195512
22.687157,36,661.596851
55.318817,80,661.596926
52.294056,72,674.362523
95.984505,111,674.876091
18.726694,27,675.957309
44.45828,53,676.501467
10.728114,19,677.443062
26.441147,34,679.101145
37.34423,50,679.47999
16.141743,22,680.333962
28.527088,40,681.946146
29.45191,37,682.272557
13.70874,26,683.402325
11.541815,21,684.924698
86.896194,109,685.233381
78.776794,89,688.015783
143.6193,161,688.015852
78.92647,97,688.245845
42.87834,54,693.765635
57.553204,74,696.657203
26.415571,45,696.902404
59.10753,66,698.037507
26.057661,43,699.433655
53.18802,63,699.433718
73.343605,97,700.063465
6.1447263,12,700.063545
46.15652,53,700.452823
21.9343,46,703.393443
29.031378,39,703.393522
51.71293,76,703.393544
