Time	Iteration	AverageReward	StdRewards	MaxRewardRollout	MinRewardRollout
20.468863487243652	0	2238.9284484419118	4876.374281111564	11763.806288629436	-7969.558133539846
44.68853044509888	0	12375.813979819024	0.0	12375.813979819024	12375.813979819024
67.60437560081482	1	5705.380667104235	5261.398085712839	17221.658164110166	-7988.504247456496
94.03863573074341	2	6132.887979142959	5371.841297102529	14437.182851875988	-6217.880309678971
120.08765125274658	3	6030.071809695341	5915.934224033369	15981.53220155087	-4058.0233689695715
146.74456071853638	4	10246.570148148043	5185.550638992397	18933.699638955597	-3546.84517430942
175.71892595291138	5	14006.516935325819	3264.528978852838	18497.248199909525	1829.5085804286095
205.51066970825195	6	14542.68162349621	3354.9389517589566	19305.963117019593	3989.278693923746
238.89064812660217	7	14639.826470276324	4272.555256335831	25372.619339992383	333.1630109821778
268.6637451648712	8	15263.758015900155	2552.4567789191874	19491.68167781157	8984.367384903984
300.49278926849365	9	15620.862472630022	2871.291488498746	20222.73698837598	9557.181591843684
331.7457537651062	10	16211.32764918838	2685.239282524597	22477.507832207793	10086.492683722601
361.45117831230164	10	19465.747802202655	0.0	19465.747802202655	19465.747802202655
396.3882472515106	11	18169.804582865636	2068.666203583586	25386.94015491767	14314.325736643757
429.9364936351776	12	17779.088204545347	3643.7113327221364	25579.65499745309	11720.813776290583
461.263708114624	13	17610.20325832335	3224.3617430312015	25382.33764027925	9487.05251846816
496.8148236274719	14	18266.68615500727	3009.133610831968	25622.560287214314	13552.50161493448
533.0666124820709	15	20052.67065740735	3029.422790816876	25507.367004996715	15267.98752373113
568.4893817901611	16	19921.88164032348	3540.313875086887	25573.418742804133	14403.031142471651
603.6025772094727	17	20300.45623662114	3013.078406538707	25678.750753393524	13946.348262563213
642.5896000862122	18	20964.589964522962	3708.9900602405187	25739.79649212794	13202.52380560135
680.8023223876953	19	23304.13907355976	2884.9099187265892	25671.747649392917	16660.875934760716
723.795196056366	20	22719.912510918155	3678.5974749803026	25664.57845990951	12857.849288750444
761.4883396625519	20	25567.312147319604	0.0	25567.312147319604	25567.312147319604
800.804260969162	21	23984.9779973533	2515.852965391244	25694.783941160687	17672.67285108007
839.2499215602875	22	22884.73267326105	3112.082734122696	25710.208393818728	15737.11782936974
876.2273058891296	23	23903.6219671649	2712.957584340531	25697.440912402028	16563.700403265637
913.8469567298889	24	25097.32576211346	1421.311197815941	25834.381664999713	19538.275571023896
952.8479554653168	25	25003.38123819865	1715.2448683800187	25802.201666639652	18392.90100153329
993.4956123828888	26	25565.000573979924	310.6544177314818	25961.10824371204	23992.070832271093
1031.7625768184662	27	25510.10195347907	1016.9868898413737	25988.14736563506	19927.326918612383
1070.8650650978088	28	25753.486817300913	148.23204294809096	25964.786116587933	25410.269691494595
1109.958366394043	29	25247.964248018136	1939.9232024366	25938.23442761898	16434.972418573707
1148.923175573349	30	25792.450760952102	136.50438830059582	25973.75434725287	25423.63790788674
1185.2549178600311	30	25980.621938922068	0.0	25980.621938922068	25980.621938922068
1225.1320083141327	31	25783.30820714673	141.9132236536555	25974.013320957263	25410.702545822547
